Date,Start (ET),VisitorTeam,HomeTeam,Arena,Notes
2025-11-17,7:00p,Milwaukee Bucks,Cleveland Cavaliers,Rocket Arena,
2025-11-17,7:00p,Indiana Pacers,Detroit Pistons,Little Caesars Arena,
2025-11-17,7:00p,Los Angeles Clippers,Philadelphia 76ers,Xfinity Mobile Arena,
2025-11-17,7:30p,New York Knicks,Miami Heat,Kaseya Center,
2025-11-17,7:30p,Charlotte Hornets,Toronto Raptors,Scotiabank Arena,
2025-11-17,8:00p,Dallas Mavericks,Minnesota Timberwolves,Target Center,
2025-11-17,8:00p,Oklahoma City Thunder,New Orleans Pelicans,Smoothie King Center,
2025-11-17,9:00p,Chicago Bulls,Denver Nuggets,Ball Arena,
2025-11-18,7:00p,Golden State Warriors,Orlando Magic,Kia Center,
2025-11-18,7:30p,Detroit Pistons,Atlanta Hawks,State Farm Arena,
2025-11-18,7:30p,Boston Celtics,Brooklyn Nets,Barclays Center,
2025-11-18,8:00p,Memphis Grizzlies,San Antonio Spurs,Frost Bank Center,
2025-11-18,10:30p,Utah Jazz,Los Angeles Lakers,Crypto.com Arena,
2025-11-18,11:00p,Phoenix Suns,Portland Trail Blazers,Moda Center,
2025-11-19,7:00p,Houston Rockets,Cleveland Cavaliers,Rocket Arena,
2025-11-19,7:00p,Charlotte Hornets,Indiana Pacers,Gainbridge Fieldhouse,
2025-11-19,7:00p,Toronto Raptors,Philadelphia 76ers,Xfinity Mobile Arena,
2025-11-19,7:30p,Golden State Warriors,Miami Heat,Kaseya Center,
2025-11-19,8:00p,Washington Wizards,Minnesota Timberwolves,Target Center,
2025-11-19,8:00p,Denver Nuggets,New Orleans Pelicans,Smoothie King Center,
2025-11-19,8:00p,Sacramento Kings,Oklahoma City Thunder,Paycom Center,
2025-11-19,9:30p,New York Knicks,Dallas Mavericks,American Airlines Center,
2025-11-19,10:00p,Chicago Bulls,Portland Trail Blazers,Moda Center,
2025-11-20,7:00p,Los Angeles Clippers,Orlando Magic,Kia Center,
2025-11-20,8:00p,Sacramento Kings,Memphis Grizzlies,FedExForum,
2025-11-20,8:00p,Philadelphia 76ers,Milwaukee Bucks,Fiserv Forum,
2025-11-20,8:00p,Atlanta Hawks,San Antonio Spurs,Frost Bank Center,
2025-11-21,7:00p,Indiana Pacers,Cleveland Cavaliers,Rocket Arena,NBA Cup
2025-11-21,7:30p,Brooklyn Nets,Boston Celtics,TD Garden,NBA Cup
2025-11-21,7:30p,Washington Wizards,Toronto Raptors,Scotiabank Arena,NBA Cup
2025-11-21,8:00p,Miami Heat,Chicago Bulls,United Center,NBA Cup
2025-11-21,8:30p,New Orleans Pelicans,Dallas Mavericks,American Airlines Center,NBA Cup
2025-11-21,9:00p,Minnesota Timberwolves,Phoenix Suns,Mortgage Matchup Center,NBA Cup
2025-11-21,9:30p,Denver Nuggets,Houston Rockets,Toyota Center,NBA Cup
2025-11-21,10:00p,Portland Trail Blazers,Golden State Warriors,Chase Center,NBA Cup
2025-11-21,10:00p,Oklahoma City Thunder,Utah Jazz,Delta Center,NBA Cup
2025-11-22,1:00p,Los Angeles Clippers,Charlotte Hornets,Spectrum Center,
2025-11-22,5:00p,New York Knicks,Orlando Magic,Kia Center,
2025-11-22,7:00p,Atlanta Hawks,New Orleans Pelicans,Smoothie King Center,
2025-11-22,8:00p,Washington Wizards,Chicago Bulls,United Center,
2025-11-22,8:00p,Detroit Pistons,Milwaukee Bucks,Fiserv Forum,
2025-11-22,8:30p,Memphis Grizzlies,Dallas Mavericks,American Airlines Center,
2025-11-22,10:00p,Sacramento Kings,Denver Nuggets,Ball Arena,
2025-11-23,1:00p,Miami Heat,Philadelphia 76ers,Xfinity Mobile Arena,
2025-11-23,6:00p,Charlotte Hornets,Atlanta Hawks,State Farm Arena,
2025-11-23,6:00p,Orlando Magic,Boston Celtics,TD Garden,
2025-11-23,6:00p,Los Angeles Clippers,Cleveland Cavaliers,Rocket Arena,
2025-11-23,6:00p,Brooklyn Nets,Toronto Raptors,Scotiabank Arena,
2025-11-23,7:00p,Portland Trail Blazers,Oklahoma City Thunder,Paycom Center,
2025-11-23,8:00p,San Antonio Spurs,Phoenix Suns,Mortgage Matchup Center,
2025-11-23,8:00p,Los Angeles Lakers,Utah Jazz,Delta Center,
2025-11-24,7:00p,Detroit Pistons,Indiana Pacers,Gainbridge Fieldhouse,
2025-11-24,7:00p,Cleveland Cavaliers,Toronto Raptors,Scotiabank Arena,
2025-11-24,7:30p,New York Knicks,Brooklyn Nets,Barclays Center,
2025-11-24,7:30p,Dallas Mavericks,Miami Heat,Kaseya Center,
2025-11-24,8:00p,Denver Nuggets,Memphis Grizzlies,FedExForum,
2025-11-24,8:00p,Portland Trail Blazers,Milwaukee Bucks,Fiserv Forum,
2025-11-24,8:00p,Chicago Bulls,New Orleans Pelicans,Smoothie King Center,
2025-11-24,9:30p,Houston Rockets,Phoenix Suns,Mortgage Matchup Center,
2025-11-24,10:00p,Utah Jazz,Golden State Warriors,Chase Center,
