Rk,Player,PTS/G,G,Season,Age,Team,G_2,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G_2,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,PlayerID
1,Shai Gilgeous-Alexander,32.7,76,2024-25,26,OKC,76,76,1,34.2,11.3,21.8,9.2,16.1,2.1,5.7,7.9,8.8,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,0.519,0.571,0.375,0.898,0.637,0.569,G,gilgesh01
2,Giannis Antetokounmpo,30.4,67,2024-25,30,MIL,67,67,1,34.2,11.8,19.7,11.6,18.7,0.2,0.9,6.5,10.6,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,0.601,0.62,0.222,0.617,0.625,0.607,F-G,antetgi01
3,Nikola Jokić,29.6,70,2024-25,29,DEN,70,70,1,36.7,11.2,19.5,9.3,14.8,2.0,4.7,5.2,6.4,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,0.576,0.627,0.417,0.8,0.663,0.627,C-F,jokicni01
4,Luka Dončić,28.2,50,2024-25,25,LAL,50,50,0,35.4,9.2,20.5,5.7,10.9,3.5,9.6,6.2,7.9,0.8,7.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,0.45,0.522,0.368,0.782,0.587,0.536,G-F,doncilu01
5,Anthony Edwards,27.6,79,2024-25,23,MIN,79,79,1,36.3,9.1,20.4,5.1,10.1,4.1,10.3,5.3,6.3,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,0.447,0.501,0.395,0.837,0.595,0.547,G-F,edwaran01
6,Jayson Tatum,26.8,72,2024-25,26,BOS,72,72,1,36.4,9.2,20.3,5.7,10.2,3.5,10.1,5.0,6.1,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,0.452,0.559,0.343,0.814,0.582,0.537,F,tatumja01
7,Kevin Durant,26.6,62,2024-25,36,PHO,62,62,1,36.5,9.5,18.1,7.0,12.1,2.6,6.0,4.9,5.8,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,0.527,0.574,0.43,0.839,0.642,0.598,F-G,duranke01
8,Tyrese Maxey,26.3,52,2024-25,24,PHI,52,52,0,37.7,9.2,21.0,6.1,11.8,3.1,9.2,4.9,5.6,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,0.437,0.515,0.337,0.879,0.562,0.511,G,maxeyty01
9,Cade Cunningham,26.1,70,2024-25,23,DET,70,70,1,35.0,9.8,20.8,7.6,14.8,2.1,6.0,4.5,5.3,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,0.469,0.515,0.356,0.846,0.565,0.521,G,cunnica01
10,Jalen Brunson,26.0,65,2024-25,28,NYK,65,65,1,35.4,9.0,18.5,6.7,12.4,2.3,6.1,5.7,6.9,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,0.488,0.539,0.383,0.821,0.605,0.551,G,brunsja01
